ID,state,year,gun_deaths,population,mass_shootings,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime,other_crime,lawtotal,destructive_device,machinegun,silencer,short_barreled_rifle,short_barreled_shotgun,total_weapons,alcohol_abuse,mental,depression
1,Alabama,2015,385,4850858,4,20166,173192,299,1370,4906,13591,51119,111411,10662,193059,10,74778,18212,15501,2550,2224,114419,188,691,250
2,Alaska,2015,70,737979,0,4416,19094,30,436,576,3374,2852,14854,1388,23480,4,4499,1674,3527,1162,1242,12424,43,94,35
3,Arizona,2015,215,6802262,6,26789,229896,397,2499,7145,16748,54695,155400,19801,256288,11,82271,15987,25642,8996,2054,136115,373,925,342
4,Arkansas,2015,155,2975626,2,14173,110430,160,1230,2357,10426,34016,70645,5769,124443,11,44239,5140,12218,2159,1067,65425,120,438,172
5,California,2015,1204,39032444,27,154943,973822,1792,7665,54291,91195,230075,596905,146842,1126973,102,245524,29550,11091,9058,13185,312264,2122,4997,1731
6,Colorado,2015,176,5440445,3,16085,132781,155,2285,3299,10346,25725,96054,11002,148711,30,43200,6629,15050,4094,1526,71452,335,794,294
7,Connecticut,2015,90,3593862,2,9889,77205,129,689,3689,5382,15468,55067,6670,86965,84,11603,26741,7432,2406,987,49877,211,483,188
8,Delaware,2015,58,944107,1,5144,31163,48,307,1558,3231,7617,22001,1545,36259,38,2454,591,294,174,542,4087,46,133,46
9,District of Columbia,2015,124,672736,2,,,,,,,,,,,,38427,4466,285,787,1091,45125,47,97,36
10,Florida,2015,796,20268567,25,98198,671200,984,5273,25622,66319,170171,461408,39621,768414,21,144313,33435,50422,14872,7913,254391,1009,2630,933
11,Georgia,2015,595,10199533,20,36762,357235,549,2066,12266,21881,96014,231543,29678,393448,6,59799,28046,59942,7500,11019,168162,455,1299,479
12,Hawaii,2015,12,1426320,0,3465,43874,20,353,994,2098,8165,31240,4469,47319,77,6701,410,139,58,61,7403,62,168,60
13,Idaho,2015,40,1649324,0,7883,72043,44,866,824,6149,17573,50472,3998,79882,6,18016,4053,19167,2231,456,44560,81,243,85
14,Illinois,2015,688,12862051,25,3202,32875,35,444,188,2535,6915,24629,1331,36042,64,88946,26086,1641,2066,1702,121421,649,1570,581
15,Indiana,2015,346,6610596,10,54523,344468,781,3030,20217,30495,77719,237362,29387,398210,11,40044,18754,27329,3984,8696,100386,325,1014,389
16,Iowa,2015,60,3118473,2,21619,206016,306,1758,6977,12578,50571,140630,14815,227329,25,24563,3455,793,470,959,31117,165,402,151
17,Kansas,2015,127,2905789,1,10209,88655,111,1122,1448,7528,18712,63259,6684,98753,7,21522,3660,6080,1964,899,34826,141,372,149
18,Kentucky,2015,230,4422057,4,10465,119037,151,1499,3705,5110,32750,79586,6701,129351,7,25166,12605,20650,2388,1739,63628,206,707,252
19,Louisiana,2015,501,4671211,14,25373,168529,506,1262,5235,18370,46242,113174,9113,193396,12,49929,6623,18855,2981,1679,80605,251,634,235
20,Maine,2015,31,1327787,0,1638,33829,26,394,370,848,7865,24886,1078,35441,12,3134,4698,2061,1640,442,12545,61,203,83
21,Maryland,2015,404,6000561,13,28817,166846,399,1200,10342,16876,35823,114951,16072,195264,64,49531,25548,10822,3489,4242,94619,329,756,274
22,Massachusetts,2015,109,6794002,5,28232,148829,184,1654,6768,19626,36403,101644,10782,176877,100,14473,6985,9156,1975,1006,34433,388,1008,387
23,Michigan,2015,355,9918170,11,43731,251329,617,4344,10263,28507,69755,156666,24908,294443,21,23865,12247,7898,1478,1181,47791,474,1373,499
24,Minnesota,2015,123,5483238,5,12323,136183,75,2113,3385,6750,25681,102354,8148,148431,41,41948,9307,1270,1969,1099,58239,289,777,304
25,Mississippi,2015,223,2985297,2,8009,89809,232,863,2496,4418,30722,54179,4908,97586,5,9064,4137,8289,1416,756,24081,126,394,129
26,Missouri,2015,492,6072640,13,26888,199085,366,1469,6275,18778,44875,138879,15331,225607,8,29468,9389,12366,3423,2460,58475,310,823,303
27,Montana,2015,34,1028317,1,2755,23885,29,366,171,2189,3347,19089,1449,26611,4,3506,2299,5220,912,426,12798,60,157,54
28,Nebraska,2015,59,1893564,3,4672,50894,68,699,993,2912,8725,38060,4109,55498,22,6190,2190,4880,1156,806,15956,106,253,100
29,Nevada,2015,183,2883057,1,15452,70075,139,913,4308,10092,20342,40156,9577,85388,15,34306,8904,14310,4886,898,64090,149,387,150
30,New Hampshire,2015,22,1330134,0,2864,32756,16,581,509,1758,6244,25398,1114,35604,10,4033,8034,7271,2822,464,23061,82,227,91
31,New Jersey,2015,249,8960001,9,27203,189719,380,1006,12209,13608,43238,129066,17415,216542,67,41823,7621,1081,1105,2555,54612,431,1107,443
32,New Mexico,2015,116,2082264,2,11904,73549,158,856,1720,9170,21419,46730,5400,85295,10,77700,3819,4943,1803,653,89220,117,309,102
33,New York,2015,463,19819347,21,77463,371837,769,2751,28405,45538,65227,287361,19249,448531,75,39744,12366,3383,4435,7921,69680,1073,2638,999
34,North Carolina,2015,493,10041769,12,33421,337806,498,1959,9448,21516,105534,215453,16819,370729,30,83200,11461,18432,5443,2858,122288,437,1459,560
35,North Dakota,2015,18,754859,1,1699,13334,24,266,91,1318,2458,9891,985,15009,14,1817,1568,3745,532,258,8122,43,94,36
36,Ohio,2015,537,11606027,14,35218,380572,500,3679,15991,15048,112901,246744,20927,415290,16,76872,19641,25383,5603,5910,135267,629,1778,682
37,Oklahoma,2015,220,3904353,5,17311,127618,212,1410,3288,12401,36462,80064,11092,144717,9,15408,8908,27870,3230,1639,58213,196,548,195
38,Oregon,2015,125,4016537,2,9643,121869,84,1239,2237,6083,20704,92059,9106,131428,33,20088,6436,15589,3698,1400,48751,235,666,233
39,Pennsylvania,2015,508,12791124,15,46189,283442,639,3339,16165,26046,57966,208604,16872,328992,36,159048,17928,27021,6561,12715,225377,699,1803,683
40,Rhode Island,2015,14,1055916,1,2586,27976,20,319,744,1503,6836,18765,2375,30542,43,3118,647,28,108,112,4054,63,170,59
41,South Carolina,2015,384,4892423,11,27894,183243,320,1678,4631,21265,47351,122255,13637,210817,12,32245,8113,20298,3078,3886,68312,240,644,238
42,South Dakota,2015,25,854036,1,2105,15299,20,503,167,1415,2927,11423,949,17384,5,3693,1634,5649,474,189,11989,51,110,38
43,Tennessee,2015,395,6590726,11,38895,230900,380,2095,8082,28338,62830,153928,14142,269415,24,38172,13415,16860,4759,5913,80701,290,988,347
44,Texas,2015,1136,27454880,19,104734,892810,1130,7486,28620,67498,215775,613131,63924,996434,20,200870,33548,130767,23840,7420,403185,1305,3127,1112
45,Utah,2015,66,2984917,2,5547,84084,50,901,1079,3517,13170,64727,6187,89581,11,15410,6533,50291,3214,1287,77193,111,417,143
46,Vermont,2015,13,624455,1,925,15086,11,146,99,669,3838,10720,528,16000,6,2429,1116,72,221,135,4199,38,101,40
47,Virginia,2015,317,8366767,5,16014,182902,304,1591,5425,8694,30656,142476,9770,198612,12,187526,32685,26881,11023,7285,268234,397,1203,498
48,Washington,2015,197,7152818,1,20152,244209,163,2320,5627,12042,56561,162828,24820,264198,41,40925,4191,18027,2632,804,68427,337,1062,405
49,West Virginia,2015,58,1839767,5,5497,39009,87,372,802,4236,10245,26656,2108,44419,24,13705,2863,4199,1194,1008,23415,86,301,119
50,Wisconsin,2015,222,5759744,3,14268,139912,138,1190,4600,8340,27167,104472,8273,154042,23,29197,6762,9100,2712,1189,49722,355,824,288
51,Wyoming,2015,21,586102,0,1245,12878,18,146,71,1010,1864,10493,521,14105,9,118123,1748,3044,571,388,124176,31,85,33
